"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","Federal Noxious Status","State Noxious Status","Invasive","Federal T/E Status","State T/E Status"
"RICIN","","RICIN","Ricinus","ricinus","","","","",""
"RICO3","","RICO3","Ricinus communis","castorbean","","","Cal-IPC, FLEPPC, WSWS","",""
"RIELL","","RIELL","Riella","","","","","",""
"RIAF","","RIAF","Riella affinis","","","","","",""
"RIAM6","","RIAM6","Riella americana","","","","","",""
"RIGIO","","RIGIO","Rigiopappus","rigiopappus","","","","",""
"RILE2","","RILE2","Rigiopappus leptocladus","wireweed","","","","",""
"RIMEL2","","RIMEL2","Rimelia","rimelia lichen","","","","",""
"RICE2","","RICE2","Rimelia cetrata","rimelia lichen","","","","",""
"RICO6","","RICO6","Rimelia commensurata","rimelia lichen","","","","",""
"RIDI2","","RIDI2","Rimelia diffractaica","rimelia lichen","","","","",""
"RIRE3","","RIRE3","Rimelia reticulata","netted rimelia lichen","","","","",""
"RISI","","RISI","Rimelia simulans","rimelia lichen","","","","",""
"RISU3","","RISU3","Rimelia subisidiosa","rimelia lichen","","","","",""
"RIMEL3","","RIMEL3","Rimeliella","","","","","",""
"RICO15","","RICO15","Rimeliella conferenda","","","","","",""
"RINE3","","RINE3","Rimeliella neotropica","","","","","",""
"RISU8","","RISU8","Rimeliella subsumpta","","","","","",""
"RISU9","","RISU9","Rimeliella subtinctoria","","","","","",""
"RIMUL","","RIMUL","Rimularia","rimularia lichen","","","","",""
"RIBA","","RIBA","Rimularia badioatra","rimularia lichen","","","","",""
"RICA10","","RICA10","Rimularia caeca","","","","","",""
"RIFU","","RIFU","Rimularia furvella","rimularia lichen","","","","",""
"RIGI","","RIGI","Rimularia gibbosa","rimularia lichen","","","","",""
"RIGY","","RIGY","Rimularia gyrizans","rimularia lichen","","","","",""
"RIIM","","RIIM","Rimularia impavida","rimularia lichen","","","","",""
"RIIN4","","RIIN4","Rimularia insularis","rimularia lichen","","","","",""
"RILI","","RILI","Rimularia limborina","rimularia lichen","","","","",""
"RISP2","","RISP2","Rimularia sphacelata","rimularia lichen","","","","",""
"RINOD","","RINOD","Rinodina","rinodina lichen","","","","",""
"RIAD","","RIAD","Rinodina adirondackii","Adirondack rinodina lichen","","","","",""
"RIAM5","","RIAM5","Rinodina americana","American rinodina lichen","","","","",""
"RIAN2","","RIAN2","Rinodina annulata","rinodina lichen","","","","",""
"RIAP","","RIAP","Rinodina applanata","rinodina lichen","","","","",""
"RIAR2","","RIAR2","Rinodina archaea","rinodina lichen","","","","",""
"RIAR3","","RIAR3","Rinodina arctica","arctic rinodina lichen","","","","",""
"RIAS2","","RIAS2","Rinodina ascociscana","rinodina lichen","","","","",""
"RIAT2","","RIAT2","Rinodina athallina","rinodina lichen","","","","",""
"RIBI2","","RIBI2","Rinodina bischoffii","Bischoff's rinodina lichen","","","","",""
"RIBO","","RIBO","Rinodina bolanderi","Bolander's rinodina lichen","","","","",""
"RIBO2","","RIBO2","Rinodina bolodes","rinodina lichen","","","","",""
"RIBR3","","RIBR3","Rinodina brouardii","Brouard's rinodina lichen","","","","",""
"RICA5","","RICA5","Rinodina cacuminum","rinodina lichen","","","","",""
"RICA6","","RICA6","Rinodina calcigena","rinodina lichen","","","","",""
"RICA8","","RICA8","Rinodina castaneomela","rinodina lichen","","","","",""
"RICA11","","RICA11","Rinodina castaneomelodes","","","","","",""
"RICH","","RICH","Rinodina chrysomelaena","rinodina lichen","","","","",""
"RICI","","RICI","Rinodina cinereovirens","rinodina lichen","","","","",""
"RICO7","","RICO7","Rinodina colobina","rinodina lichen","","","","",""
"RICO8","","RICO8","Rinodina colobinoides","rinodina lichen","","","","",""
"RICO9","","RICO9","Rinodina coloradiana","Colorado rinodina lichen","","","","",""
"RICO10","","RICO10","Rinodina confragosa","rinodina lichen","","","","",""
"RICO11","","RICO11","Rinodina conradii","Conrad's rinodina lichen","","","","",""
"RICO12","","RICO12","Rinodina constrictula","rinodina lichen","","","","",""
"RICO13","","RICO13","Rinodina corticola","rinodina lichen","","","","",""
"RIDA2","","RIDA2","Rinodina darrowii","Darrov's rinodina lichen","","","","",""
"RIDE3","","RIDE3","Rinodina degeliana","","","","","",""
"RIDE2","","RIDE2","Rinodina destituta","destitute rinodina lichen","","","","",""
"RIDI3","","RIDI3","Rinodina dirinoides","rinodina lichen","","","","",""
"RIDI5","","RIDI5","Rinodina disjuncta","","","","","",""
"RIEF","","RIEF","Rinodina efflorescens","rinodina lichen","","","","",""
"RIEN","","RIEN","Rinodina endophragmia","rinodina lichen","","","","",""
"RIEX","","RIEX","Rinodina excrescens","rinodina lichen","","","","",""
"RIEX2","","RIEX2","Rinodina exigua","rinodina lichen","","","","",""
"RIGE","","RIGE","Rinodina gennarii","Gennar's rinodina lichen","","","","",""
"RIGL5","","RIGL5","Rinodina glauca","","","","","",""
"RIGR7","","RIGR7","Rinodina granulans","","","","","",""
"RIGR6","","RIGR6","Rinodina granuligera","rinodina lichen","","","","",""
"RIGR8","","RIGR8","Rinodina griseosoralifera","","","","","",""
"RIHA","","RIHA","Rinodina halei","Hale's rinodina lichen","","","","",""
"RIHA2","","RIHA2","Rinodina hallii","Hall's rinodina lichen","","","","",""
"RIHE3","","RIHE3","Rinodina herrei","Herre's rinodina lichen","","","","",""
"RIHY2","","RIHY2","Rinodina hyperborea","rinodina lichen","","","","",""
"RIIN7","","RIIN7","Rinodina interpolata","","","","","",""
"RIIO","","RIIO","Rinodina iowensis","Iowa rinodina lichen","","","","",""
"RIKE","","RIKE","Rinodina kentuckyensis","Kentucky rinodina lichen","","","","",""
"RILA4","","RILA4","Rinodina laevigata","rinodina lichen","","","","",""
"RILE5","","RILE5","Rinodina lecanoides","rinodina lichen","","","","",""
"RILE6","","RILE6","Rinodina lecanorina","rinodina lichen","","","","",""
"RILE7","","RILE7","Rinodina lecideoides","rinodina lichen","","","","",""
"RILE8","","RILE8","Rinodina lepida","rinodina lichen","","","","",""
"RILU","","RILU","Rinodina luridata","rinodina lichen","","","","",""
"RILY","","RILY","Rinodina lycopodiicola","rinodina lichen","","","","",""
"RIMA4","","RIMA4","Rinodina marysvillensis","Marysville rinodina lichen","","","","",""
"RIME3","","RIME3","Rinodina metaboliza","rinodina lichen","","","","",""
"RIMI3","","RIMI3","Rinodina milvina","rinodina lichen","","","","",""
"RIMI4","","RIMI4","Rinodina minutissima","rinodina lichen","","","","",""
"RIMN","","RIMN","Rinodina mniaraea","rinodina lichen","","","","",""
"RIMN2","","RIMN2","Rinodina mniaroeiza","rinodina lichen","","","","",""
"RIMU","","RIMU","Rinodina mucronatula","rinodina lichen","","","","",""
"RIOC2","","RIOC2","Rinodina ochrocea","rinodina lichen","","","","",""
"RIOL2","","RIOL2","Rinodina olivaceobrunnea","rinodina lichen","","","","",""
"RIOR2","","RIOR2","Rinodina oregana","Oregon rinodina lichen","","","","",""
"RIOX2","","RIOX2","Rinodina oxydata","rinodina lichen","","","","",""
"RIPA3","","RIPA3","Rinodina pachysperma","rinodina lichen","","","","",""
"RIPA4","","RIPA4","Rinodina papillata","papillate rinodina lichen","","","","",""
"RIPA5","","RIPA5","Rinodina parasitica","parasite rinodina lichen","","","","",""
"RIPO","","RIPO","Rinodina polyspora","manyspore rinodina lichen","","","","",""
"RIPO2","","RIPO2","Rinodina populicola","rinodina lichen","","","","",""
"RIPY","","RIPY","Rinodina pyrina","rinodina lichen","","","","",""
"RIRO3","","RIRO3","Rinodina roscida","rinodina lichen","","","","",""
"RISA5","","RISA5","Rinodina santae-monicae","Santa Monica rinodina lichen","","","","",""
"RISE3","","RISE3","Rinodina septentrionalis","rinodina lichen","","","","",""
"RISH","","RISH","Rinodina sheardii","","","","","",""
"RISI2","","RISI2","Rinodina silicicola","rinodina lichen","","","","",""
"RIST3","","RIST3","Rinodina stictica","","","","","",""
"RISU4","","RISU4","Rinodina subminuta","rinodina lichen","","","","",""
"RISU6","","RISU6","Rinodina subsophodes","rinodina lichen","","","","",""
"RITE","","RITE","Rinodina tephraspis","rinodina lichen","","","","",""
"RITH4","","RITH4","Rinodina thomsonii","","","","","",""
"RITU2","","RITU2","Rinodina turfacea","rinodina lichen","","","","",""
"RIVE2","","RIVE2","Rinodina vegasii","Vegas' rinodina lichen","","","","",""
"RIWI","","RIWI","Rinodina willeyii","","","","","",""
"RIZW","","RIZW","Rinodina zwackhiana","Zwackh-Holzhausen's rinodina lichen","","","","",""
"RINOR","","RINOR","Rinorea","rinorea","","","","",""
"RIBE2","","RIBE2","Rinorea bengalensis","Bengal rinorea","","","","",""
"RIVIN","","RIVIN","Rivina","rivina","","","","",""
"RIHU2","","RIHU2","Rivina humilis","rougeplant","","","","",""
"ROBIN","","ROBIN","Robinia","locust","","","","",""
"ROAM2","","ROAM2","Robinia ×ambigua","hybrid locust","","","","",""
"ROHO","","ROHO","Robinia ×holdtii","hybrid locust","","","","",""
"ROLO2","","ROLO2","Robinia ×longiloba","hybrid locust","","","","",""
"ROMA","","ROMA","Robinia ×margarettiae","hybrid locust","","","","",""
"ROHI","","ROHI","Robinia hispida","bristly locust","","","","",""
"ROHIF8","","ROHIF8","Robinia hispida var. fertilis","bristly locust","","","","",""
"ROHIH","","ROHIH","Robinia hispida var. hispida","bristly locust","","","","",""
"ROHIK","","ROHIK","Robinia hispida var. kelseyi","Kelsey's locust","","","","",""
"ROHIN","","ROHIN","Robinia hispida var. nana","bristly locust","","","","",""
"ROHIR","","ROHIR","Robinia hispida var. rosea","bristly locust","","","","",""
"RONE","","RONE","Robinia neomexicana","New Mexico locust","","","","",""
"RONEN","","RONEN","Robinia neomexicana var. neomexicana","New Mexico locust","","","","",""
"RONER","","RONER","Robinia neomexicana var. rusbyi","Rusby's locust","","","","",""
"ROPS","","ROPS","Robinia pseudoacacia","black locust","","CT(INB)MA(P)","Cal-IPC, N'EAST","",""
"ROVI","","ROVI","Robinia viscosa","clammy locust","","","","",""
"ROVIH2","","ROVIH2","Robinia viscosa var. hartwegii","Hartweg's locust","","","","",""
"ROVIV","","ROVIV","Robinia viscosa var. viscosa","clammy locust","","","","",""
"ROCCE","","ROCCE","Roccella","roccella lichen","","","","",""
"ROBA2","","ROBA2","Roccella babingtonii","Babington's roccella lichen","","","","",""
"RODE4","","RODE4","Roccella decipiens","roccella lichen","","","","",""
"RODI","","RODI","Roccella difficilis","roccella lichen","","","","",""
"ROFI","","ROFI","Roccella fimbriata","roccella lichen","","","","",""
"ROFU","","ROFU","Roccella fuciformis","roccella lichen","","","","",""
"ROMO4","","ROMO4","Roccella montagnei","Montagne's roccella lichen","","","","",""
"ROPE3","","ROPE3","Roccella peruensis","Peru roccella lichen","","","","",""
"ROPH","","ROPH","Roccella phycopsis","roccella lichen","","","","",""
"ROTI","","ROTI","Roccella tinctoria","roccella lichen","","","","",""
"ROCCE2","","ROCCE2","Roccellina","roccellina lichen","","","","",""
"ROCO11","","ROCO11","Roccellina conformis","roccellina lichen","","","","",""
"ROFR2","","ROFR2","Roccellina franciscana","roccellina lichen","","","","",""
"ROCHE","","ROCHE","Rochefortia","rochefortia","","","","",""
"ROAC2","","ROAC2","Rochefortia acanthophora","greenheart ebony","","","","",""
"ROSP8","","ROSP8","Rochefortia spinosa","espino","","","","",""
"RODGE","","RODGE","Rodgersia","","","","","",""
"ROSA6","","ROSA6","Rodgersia sambucifolia","","","","","",""
"ROELL","","ROELL","Roellia","Roell's moss","","","","",""
"RORO5","","RORO5","Roellia roellii","Roell's moss","","","","",""
"ROEME","","ROEME","Roemeria","roemeria","","","","",""
"RORE","","RORE","Roemeria refracta","spotted Asian poppy","","","","",""
"ROLAN","","ROLAN","Rolandra","yerba de plata","","","","",""
"ROFR","","ROFR","Rolandra fruticosa","yerba de plata","","","","",""
"ROLDA","","ROLDA","Roldana","groundsel","","","","",""
"ROHA3","","ROHA3","Roldana hartwegii","Hartweg's groundsel","","","","",""
"ROPE6","","ROPE6","Roldana petasitis","velvet groundsel","","","","",""
"ROLLA","","ROLLA","Rollandia","rollandia","","","","",""
"ROAM5","","ROAM5","Rollandia ambigua","rollandia","","","","",""
"ROLLI","","ROLLI","Rollinia","rollinia","","","","",""
"ROMU3","","ROMU3","Rollinia mucosa","wild sugar apple","","","","",""
"ROPU3","","ROPU3","Rollinia pulchrinervis","biriba","","","","",""
"ROMAN","","ROMAN","Romanzoffia","mistmaiden","","","","",""
"ROCA6","","ROCA6","Romanzoffia californica","California mistmaiden","","","","",""
"ROSI","","ROSI","Romanzoffia sitchensis","Sitka mistmaiden","","","","",""
"ROTH","","ROTH","Romanzoffia thompsonii","Thompson's mistmaiden","","","","",""
"ROTR","","ROTR","Romanzoffia tracyi","Tracy's mistmaiden","","","","",""
"ROUN","","ROUN","Romanzoffia unalaschcensis","Alaska mistmaiden","","","","",""
"ROUNG","","ROUNG","Romanzoffia unalaschcensis var. glabriuscula","Alaska mistmaiden","","","","",""
"ROUNU","","ROUNU","Romanzoffia unalaschcensis var. unalaschcensis","Alaska mistmaiden","","","","",""
"ROMNE","","ROMNE","Romneya","Matilija poppy","","","","",""
"ROCO","","ROCO","Romneya coulteri","Coulter's Matilija poppy","","","","",""
"ROTR2","","ROTR2","Romneya trichocalyx","bristly Matilija poppy","","","","",""
"ROMUL","","ROMUL","Romulea","romulea","","","","",""
"RORO","","RORO","Romulea rosea","rosy sandcrocus","","","","",""
"ROROA","","ROROA","Romulea rosea var. australis","rosy sandcrocus","","","","",""
"ROROR2","","ROROR2","Romulea rosea var. rosea","rosy sandcrocus","","","","",""
"RONDE","","RONDE","Rondeletia","cordobancillo","","","","",""
"ROIN4","","ROIN4","Rondeletia inermis","cordobancillo","","","","",""
"ROPI3","","ROPI3","Rondeletia pilosa","cordobancillo peludo","","","","",""
"ROPO","","ROPO","Rondeletia portoricensis","Juan Tomas","","","","",""
"ROPAL","","ROPAL","Ropalospora","ropalospora lichen","","","","",""
"ROCH2","","ROCH2","Ropalospora chlorantha","","","","","",""
"ROHI5","","ROHI5","Ropalospora hibernica","","","","","",""
"ROLU3","","ROLU3","Ropalospora lugubris","ropalospora lichen","","","","",""
"ROVI5","","ROVI5","Ropalospora viridis","","","","","",""
"RORIP","","RORIP","Rorippa","yellowcress","","","","",""
"ROPR4","","ROPR4","Rorippa ×prostrata","prostrate yellowcress","","","","",""
"ROAL","","ROAL","Rorippa alpina","alpine yellowcress","","","","",""
"ROAM","","ROAM","Rorippa amphibia","great yellowcress","","MA(P)","","",""
"ROAU","","ROAU","Rorippa austriaca","Austrian yellowcress","","AK(NW)AZ(PNW)CA(BW)NV(NW)WA(CBW)","STATE","",""
"ROBA","","ROBA","Rorippa barbareifolia","hoary yellowcress","","","","",""
"ROCA","","ROCA","Rorippa calycina","persistent sepal yellowcress","","","","",""
"ROCA8","","ROCA8","Rorippa cantoniensis","Chinese yellowcress","","","","",""
"ROCO2","","ROCO2","Rorippa coloradensis","San Luis yellowcress","","","","",""
"ROCO3","","ROCO3","Rorippa columbiae","Columbian yellowcress","","","","","WA(T)"
"ROCR2","","ROCR2","Rorippa crystallina","MacKenzie River yellowcress","","","","",""
"ROCU2","","ROCU2","Rorippa curvipes","bluntleaf yellowcress","","","","",""
"ROCUC","","ROCUC","Rorippa curvipes var. curvipes","bluntleaf yellowcress","","","","",""
"ROCUT","","ROCUT","Rorippa curvipes var. truncata","bluntleaf yellowcress","","","","",""
"ROCU","","ROCU","Rorippa curvisiliqua","curvepod yellowcress","","","","",""
"ROCUC2","","ROCUC2","Rorippa curvisiliqua var. curvisiliqua","curvepod yellowcress","","","","",""
"ROCUL","","ROCUL","Rorippa curvisiliqua var. lyrata","lyrateleaf yellowcress","","","","",""
"ROCUN","","ROCUN","Rorippa curvisiliqua var. nuttallii","Nuttall's yellowcress","","","","",""
"ROCUO","","ROCUO","Rorippa curvisiliqua var. occidentalis","western yellowcress","","","","",""
"ROCUO2","","ROCUO2","Rorippa curvisiliqua var. orientalis","Oriental yellowcress","","","","",""
"ROCUP","","ROCUP","Rorippa curvisiliqua var. procumbens","curvepod yellowcress","","","","",""
"ROCUS","","ROCUS","Rorippa curvisiliqua var. spatulata","curvepod yellowcress","","","","",""
"ROGL2","","ROGL2","Rorippa globosa","globe yellowcress","","","","",""
"ROIN","","ROIN","Rorippa indica","variableleaf yellowcress","","","","",""
"ROINA","","ROINA","Rorippa indica var. apetala","variableleaf yellowcress","","","","",""
"ROINI","","ROINI","Rorippa indica var. indica","variableleaf yellowcress","","","","",""
"ROIN2","","ROIN2","Rorippa intermedia","intermediate yellowcress","","","","",""
"ROIS2","","ROIS2","Rorippa islandica","northern marsh yellowcress","","","","",""
"ROMI2","","ROMI2","Rorippa microtitis","Chihuahuan yellowcress","","","","",""
"ROPA2","","ROPA2","Rorippa palustris","bog yellowcress","","","N'EAST, NE&GP","",""
"ROPAF2","","ROPAF2","Rorippa palustris ssp. fernaldiana","Fernald's yellowcress","","","","",""
"ROPAH","","ROPAH","Rorippa palustris ssp. hispida","hispid yellowcress","","","","",""
"ROPAO","","ROPAO","Rorippa palustris ssp. occidentalis","western bog yellowcress","","","","",""
"ROPAP","","ROPAP","Rorippa palustris ssp. palustris","bog yellowcress","","","","",""
"ROPO2","","ROPO2","Rorippa portoricensis","Puerto Rico yellowcress","","","","",""
"ROPOP","","ROPOP","Rorippa portoricensis var. pumilum","","","","","",""
"RORA2","","RORA2","Rorippa ramosa","Durango yellowcress","","","","",""
"ROSA","","ROSA","Rorippa sarmentosa","longrunner","","","","",""
"ROSE","","ROSE","Rorippa sessiliflora","stalkless yellowcress","","","","",""
"ROSI2","","ROSI2","Rorippa sinuata","spreading yellowcress","","","NE&GP","",""
"ROSP4","","ROSP4","Rorippa sphaerocarpa","roundfruit yellowcress","","","","",""
"ROSU2","","ROSU2","Rorippa subumbellata","Lake Tahoe yellowcress","","","","","CA(E)NV(FP)"
"ROSY","","ROSY","Rorippa sylvestris","creeping yellowcress","","CA(QW)NC(CBW)OR(BDW, Q)","STATE","",""
"ROTE","","ROTE","Rorippa tenerrima","Modoc yellowcress","","","","",""
"ROTE2","","ROTE2","Rorippa teres","southern marsh yellowcress","","","","",""
"ROSA5","","ROSA5","Rosa","rose","","","","",""
"ROAL3","","ROAL3","Rosa ×alba","white rose of York","","","","",""
"ROAN5","","ROAN5","Rosa ×anemonoides","","","","","",""
"ROBO3","","ROBO3","Rosa ×borboniana","Bourbon rose","","","","",""
"RODA","","RODA","Rosa ×damascena","damask rose","","","","",""
"RODU","","RODU","Rosa ×dulcissima","hybrid rose","","","","",""
"RODU5","","RODU5","Rosa ×dumetorum","corymb rose","","","","",""
"RODU6","","RODU6","Rosa ×dupontii","","","","","",""
"ROHA4","","ROHA4","Rosa ×harisonii","hybrid rose","","","","",""
"ROHO3","","ROHO3","Rosa ×housei","hybrid rose","","","","",""
"ROIW","","ROIW","Rosa ×iwara","","","","","",""
"ROKA2","","ROKA2","Rosa ×kamtchatica","","","","","",""
"ROOD2","","ROOD2","Rosa ×odorata","tea rose","","","","",""
"ROPA4","","ROPA4","Rosa ×palustriformis","hybrid rose","","","","",""
"RORE3","","RORE3","Rosa ×rehderiana","polyantha rose","","","","",""
"RORU3","","RORU3","Rosa ×rudiuscula","hybrid rose","","","","",""
"ROWA5","","ROWA5","Rosa ×waitziana","","","","","",""
"ROAB2","","ROAB2","Rosa abyssinica","","","","","",""
"ROAC","","ROAC","Rosa acicularis","prickly rose","","","","","IA(E)IL(E)MA(E)NH(E)VT(E)"
"ROACA","","ROACA","Rosa acicularis ssp. acicularis","prickly rose","","","","",""
"ROACN2","","ROACN2","Rosa acicularis ssp. acicularis var. nipponensis","","","","","",""
"ROACS","","ROACS","Rosa acicularis ssp. sayi","prickly rose","","","","","NY(E)"
"ROAG2","","ROAG2","Rosa agrestis","fieldbriar","","","","",""
"ROAL8","","ROAL8","Rosa albertii","","","","","",""
"ROAR3","","ROAR3","Rosa arkansana","prairie rose","","","NE&GP","","OH(PRX)"
"ROARA","","ROARA","Rosa arkansana var. arkansana","prairie rose","","","","",""
"ROARS","","ROARS","Rosa arkansana var. suffulta","prairie rose","","","","",""
"ROAR6","","ROAR6","Rosa arvensis","field rose","","","","",""
"ROBE2","","ROBE2","Rosa beggeriana","","","","","",""
"ROBE3","","ROBE3","Rosa bella","","","","","",""
"ROBL","","ROBL","Rosa blanda","smooth rose","","","","","MD(E)OH(T)"
"ROBLB","","ROBLB","Rosa blanda var. blanda","smooth rose","","","","",""
"ROBLG","","ROBLG","Rosa blanda var. glabra","smooth rose","","","","","ME(SC)"
"ROBLH","","ROBLH","Rosa blanda var. hispida","hispid rose","","","","",""
"ROBR","","ROBR","Rosa bracteata","Macartney rose","","","","",""
"ROBR3","","ROBR3","Rosa bridgesii","pygmy rose","","","","",""
"ROBR4","","ROBR4","Rosa brunonii","Himalayan musk rose","","","","",""
"ROCA2","","ROCA2","Rosa californica","California wildrose","","","","",""
"ROCA3","","ROCA3","Rosa canina","dog rose","","","","",""
"ROCA4","","ROCA4","Rosa carolina","Carolina rose","","","","",""
"ROCAC","","ROCAC","Rosa carolina var. carolina","Carolina rose","","","","",""
"ROCAS2","","ROCAS2","Rosa carolina var. setigera","Carolina rose","","","","",""
"ROCA11","","ROCA11","Rosa caudata","","","","","",""
"ROCE","","ROCE","Rosa centifolia","cabbage rose","","","","",""
"ROCH","","ROCH","Rosa chinensis","Chinese rose","","","","",""
"ROCI","","ROCI","Rosa cinnamomea","cinnamon rose","","","","",""
"RODA2","","RODA2","Rosa davidii","","","","","",""
"RODA3","","RODA3","Rosa davurica","Amur rose","","","","",""
"RODU4","","RODU4","Rosa dumalis","","","","","",""
"ROEC2","","ROEC2","Rosa ecae","","","","","",""
"ROFE4","","ROFE4","Rosa fedtschenkoana","","","","","",""
"ROFE5","","ROFE5","Rosa ferruiginea","redleaf rose","","","","",""
"ROFO2","","ROFO2","Rosa foetida","Austrian-brier","","","","",""
"ROFO","","ROFO","Rosa foliolosa","white prairie rose","","","","",""
"ROFO3","","ROFO3","Rosa forrestiana","","","","","",""
"ROGA","","ROGA","Rosa gallica","French rose","","","","",""
"ROGI2","","ROGI2","Rosa giraldii","","","","","",""
"ROGY","","ROGY","Rosa gymnocarpa","dwarf rose","","","","",""
"ROGYG","","ROGYG","Rosa gymnocarpa var. gymnocarpa","dwarf rose","","","","",""
"ROGYS","","ROGYS","Rosa gymnocarpa var. serpentina","Gasquet rose","","","","",""
"ROHE3","","ROHE3","Rosa helenae","","","","","",""
"ROHE4","","ROHE4","Rosa hemsleyana","","","","","",""
"ROIN5","","ROIN5","Rosa indica","cyme rose","","","","",""
"ROJU2","","ROJU2","Rosa jundzillii","","","","","",""
"ROKO2","","ROKO2","Rosa kokanica","","","","","",""
"ROLA","","ROLA","Rosa laevigata","Cherokee rose","","","","",""
"ROLA5","","ROLA5","Rosa laxa","","","","","",""
"ROMA81","","ROMA81","Rosa majalis","double cinnamon rose","","","","",""
"ROMA3","","ROMA3","Rosa manca","Mancos rose","","","","",""
"ROMA2","","ROMA2","Rosa maracandica","","","","","",""
"ROMA6","","ROMA6","Rosa marretii","","","","","",""
"ROMA7","","ROMA7","Rosa maximowicziana","","","","","",""
"ROMI","","ROMI","Rosa micrantha","smallflower sweetbrier","","","","",""
"ROMI80","","ROMI80","Rosa minutifolia","Baja rose","","","","","CA(E)"
"ROMI9","","ROMI9","Rosa missouriensis","","","","","",""
"ROMO7","","ROMO7","Rosa mollis","","","","","",""
"ROMO5","","ROMO5","Rosa montana","","","","","",""
"ROMO","","ROMO","Rosa moschata","musk rose","","","","",""
"ROMO6","","ROMO6","Rosa moyesii","","","","","",""
"ROMU5","","ROMU5","Rosa multibracteata","","","","","",""
"ROMU","","ROMU","Rosa multiflora","multiflora rose","","AL(CCW)CT(IB)IA(SNW)IN(PR)KY(NW)MA(P)MO(NW)NH(PIS)PA(NW)SD(RNPS)WI(NUW)WV(NW)","N'EAST, SEEPPC, STATE, SWSS, WI","",""
"ROMY","","ROMY","Rosa myriadenia","glandular rose","","","","",""
"RONI","","RONI","Rosa nitida","shining rose","","","","","CT(SC)NY(E)"
"RONI2","","RONI2","Rosa nitidula","","","","","",""
"RONU","","RONU","Rosa nutkana","Nootka rose","","","","",""
"RONUH","","RONUH","Rosa nutkana var. hispida","bristly Nootka rose","","","","",""
"RONUM","","RONUM","Rosa nutkana var. muriculata","Nootka rose","","","","",""
"RONUN","","RONUN","Rosa nutkana var. nutkana","Nootka rose","","","","",""
"RONUS","","RONUS","Rosa nutkana var. setosa","Nootka rose","","","","",""
"ROOB2","","ROOB2","Rosa obtusiuscula","Appalachian Valley rose","","","","",""
"ROPA","","ROPA","Rosa palustris","swamp rose","","","","",""
"ROPE4","","ROPE4","Rosa pendulina","alpine rose","","","","",""
"ROPI","","ROPI","Rosa pinetorum","pine rose","","","","",""
"ROPI2","","ROPI2","Rosa pisocarpa","cluster rose","","","","",""
"ROPIA","","ROPIA","Rosa pisocarpa ssp. ahartii","Ahart's cluster rose","","","","",""
"ROPIP","","ROPIP","Rosa pisocarpa ssp. pisocarpa","cluster rose","","","","",""
"ROPO4","","ROPO4","Rosa pouzinii","","","","","",""
"ROPR3","","ROPR3","Rosa prattii","","","","","",""
"ROPU4","","ROPU4","Rosa pulverulenta","","","","","",""
"RORO6","","RORO6","Rosa roxburghii","chestnut rose","","","","",""
"ROROH","","ROROH","Rosa roxburghii var. hirtula","","","","","",""
"RORU82","","RORU82","Rosa rubiginosa","sweetbriar rose","","","","",""
"RORU","","RORU","Rosa rugosa","rugosa rose","","CT(PINB)","STATE","",""
"ROSE3","","ROSE3","Rosa sempervirens","evergreen rose","","","","",""
"ROSE9","","ROSE9","Rosa sericea","","","","","",""
"ROSEO2","","ROSEO2","Rosa sericea ssp. omeiensis","","","","","",""
"ROSE2","","ROSE2","Rosa setigera","climbing rose","","","","",""
"ROSES","","ROSES","Rosa setigera var. setigera","climbing rose","","","","",""
"ROSET","","ROSET","Rosa setigera var. tomentosa","climbing rose","","","","",""
"ROSE7","","ROSE7","Rosa setipoda","","","","","",""
"ROSH2","","ROSH2","Rosa sherardii","Sherard's downy rose","","","","",""
"ROSI5","","ROSI5","Rosa sicula","Mediterranean rose","","","","",""
"ROSI6","","ROSI6","Rosa sinowilsonii","","","","","",""
"ROSO2","","ROSO2","Rosa soulieana","","","","","",""
"ROSP2","","ROSP2","Rosa spinosissima","Scotch rose","","","","",""
"ROSP3","","ROSP3","Rosa spithamea","ground rose","","","","",""
"ROSPS","","ROSPS","Rosa spithamea var. sonomensis","Sonoma ground rose","","","","",""
"ROSPS2","","ROSPS2","Rosa spithamea var. spithamea","ground rose","","","","",""
"ROST","","ROST","Rosa stellata","desert rose","","","","",""
"ROSTA","","ROSTA","Rosa stellata ssp. abyssa","desert rose","","","","","AZ(SR)"
"ROSTM","","ROSTM","Rosa stellata ssp. mirifica","desert rose","","","","",""
"ROSTE2","","ROSTE2","Rosa stellata ssp. mirifica var. erlansoniae","desert rose","","","","",""
"ROSTM2","","ROSTM2","Rosa stellata ssp. mirifica var. mirifica","desert rose","","","","",""
"ROSTS","","ROSTS","Rosa stellata ssp. stellata","desert rose","","","","",""
"ROSW2","","ROSW2","Rosa sweginzowii","Sweginzow's rose","","","","",""
"ROTO","","ROTO","Rosa tomentosa","whitewoolly rose","","","","",""
"ROTU2","","ROTU2","Rosa tuschetica","","","","","",""
"ROVI80","","ROVI80","Rosa villosa","apple rose","","","","",""
"ROVI2","","ROVI2","Rosa virginiana","Virginia rose","","","","",""
"ROVIL","","ROVIL","Rosa virginiana var. lamprophylla","Virginia rose","","","","",""
"ROVIV2","","ROVIV2","Rosa virginiana var. virginiana","Virginia rose","","","","",""
"ROWE2","","ROWE2","Rosa webbiana","","","","","",""
