"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","Category"
"ACSI4","","ACSI4","Acarospora sinopica","","Acarospora","","sinopica","","","","","","","","","","","(Wahlenb.) Körb.","","","","","cracked lichen","Lichen"
"ACSM2","","ACSM2","Acarospora smaragdula","","Acarospora","","smaragdula","","","","","","","","","","","(Wahlenb.) A. Massal.","","","","","cracked lichen","Lichen"
"ACSO2","","ACSO2","Acarospora socialis","","Acarospora","","socialis","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACSP6","","ACSP6","Acarospora sparsa","","Acarospora","","sparsa","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACST2","","ACST2","Acarospora stapfiana","","Acarospora","","stapfiana","","","","","","","","","","","(Müll. Arg.) Hue","","","","","cracked lichen","Lichen"
"ACST3","","ACST3","Acarospora strigata","","Acarospora","","strigata","","","","","","","","","","","(Nyl.) Jatta","","","","","cracked lichen","Lichen"
"ACSU5","","ACSU5","Acarospora succedens","","Acarospora","","succedens","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACSU6","","ACSU6","Acarospora superfusa","","Acarospora","","superfusa","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACTE5","","ACTE5","Acarospora tenebrica","","Acarospora","","tenebrica","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACTE6","","ACTE6","Acarospora terricola","","Acarospora","","terricola","","","","","","","","","","","H. Magn.","","","","","cracked lichen","Lichen"
"ACTH4","","ACTH4","Acarospora thamnina","","Acarospora","","thamnina","","","","","","","","","","","(Tuck.) Herre","","","","","cracked lichen","Lichen"
"ACTH5","","ACTH5","Acarospora thelococcoides","","Acarospora","","thelococcoides","","","","","","","","","","","(Nyl.) Zahlbr.","","","","","cracked lichen","Lichen"
"ACTH6","","ACTH6","Acarospora thermophila","","Acarospora","","thermophila","","","","","","","","","","","Herre","","","","","heatloving cracked lichen","Lichen"
"ACTO4","","ACTO4","Acarospora tongleti","","Acarospora","","tongleti","","","","","","","","","","","Hue","","","","","Tonglet's cracked lichen","Lichen"
