"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","Category","Genus","Family","Order","SubClass","Class","SubDivision","Division","SuperDivision","SubKingdom","Kingdom"
"ACVI10","","ACVI10","Acacia visco","","Acacia","","visco","","","","","","","","","","","Lorentz ex Griseb.","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACVO","","ACVO","Acacia vogeliana","","Acacia","","vogeliana","","","","","","","","","","","Steud.","","","","","macata bourse bastard","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACWI2","","ACWI2","Acacia willardiana","","Acacia","","willardiana","","","","","","","","","","","Rose","","","","","","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACXA3","","ACXA3","Acacia xanthophloea","","Acacia","","xanthophloea","","","","","","","","","","","Benth.","","","","","fevertree","Dicot","Acacia","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACACI2","","ACACI2","Acaciella","","Acaciella","","","","","","","","","","","","","Britton & Rose","","","","","","","Acaciella","Fabaceae","Fabales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACAEN","","ACAEN","Acaena","","Acaena","","","","","","","","","","","","","Mutis ex L.","","","","","acaena","Dicot","Acaena","Rosaceae","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACALY","","ACALY","Acalypha","","Acalypha","","","","","","","","","","","","","L.","","","","","copperleaf","Dicot","Acalypha","Euphorbiaceae","Euphorbiales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACAMP","","ACAMP","Acamptopappus","","Acamptopappus","","","","","","","","","","","","","(A. Gray) A. Gray","","","","","goldenhead","Dicot","Acamptopappus","Asteraceae","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACANT6","","ACANT6","Acanthocereus","","Acanthocereus","","","","","","","","","","","","","(Engelm. ex A. Berger) Britton & Rose","","","","","triangle cactus","Dicot","Acanthocereus","Cactaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACANT2","","ACANT2","Acanthomintha","","Acanthomintha","","","","","","","","","","","","","(A. Gray) A. Gray","","","","","thorn-mint","Dicot","Acanthomintha","Lamiaceae","Lamiales","Asteridae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACANT3","","ACANT3","Acanthospermum","","Acanthospermum","","","","","","","","","","","","","Schrank","","","","","starbur","Dicot","Acanthospermum","Asteraceae","Asterales","Asteridae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACANT7","","ACANT7","Acanthus","","Acanthus","","","","","","","","","","","","","L.","","","","","acanthus","Dicot","Acanthus","Acanthaceae","Scrophulariales","Asteridae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ACARO2","","ACARO2","Acarospora","","Acarospora","","","","","","","","","","","","","A. Massal.","","","","","cracked lichen","Lichen","Acarospora","Acarosporaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","Fungi"
"ACAE","","ACAE","Acarospora aeruginosa","","Acarospora","","aeruginosa","","","","","","","","","","","Hasse","","","","","cracked lichen","Lichen","Acarospora","Acarosporaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","Fungi"
"ACAL13","","ACAL13","Acarospora albomarginata","","Acarospora","","albomarginata","","","","","","","","","","","(Herre) Salisb.","","","","","cracked lichen","Lichen","Acarospora","Acarosporaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","Fungi"
"ACAM5","","ACAM5","Acarospora americana","","Acarospora","","americana","","","","","","","","","","","H. Magn.","","","","","American cracked lichen","Lichen","Acarospora","Acarosporaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","Fungi"
"ACAM7","","ACAM7","Acarospora amphibola","","Acarospora","","amphibola","","","","","","","","","","","Wedd.","","","","","","Lichen","Acarospora","Acarosporaceae","Lecanorales","","Ascomycetes","","Ascomycota","","","Fungi"
