"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","Category","Genus","Family","Order","Class","Division","Kingdom"
"ABUMB","","ABUMB","Abronia umbellata ssp. breviflora","","Abronia","","umbellata","ssp.","","breviflora","","","","","","","","Lam.","(Standl.) Munz","","","","pink sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABUMU","","ABUMU","Abronia umbellata ssp. umbellata","","Abronia","","umbellata","ssp.","","umbellata","","","","","","","","Lam.","Lam.","","","","pink sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABVI","","ABVI","Abronia villosa","","Abronia","","villosa","","","","","","","","","","","S. Watson","","","","","desert sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABVIA","","ABVIA","Abronia villosa var. aurita","","Abronia","","villosa","","","","var.","","aurita","","","","","S. Watson","(Abrams) Jeps.","","","","desert sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABVIV","","ABVIV","Abronia villosa var. villosa","","Abronia","","villosa","","","","var.","","villosa","","","","","S. Watson","S. Watson","","","","desert sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Magnoliopsida","Magnoliophyta","Plantae"
"ABROT","","ABROT","Abrothallus","","Abrothallus","","","","","","","","","","","","","De Not.","","","","","abrothallus lichen","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","Uncertain Ascomycota Class","Ascomycota","Fungi"
"ABBE2","","ABBE2","Abrothallus bertianus","","Abrothallus","","bertianus","","","","","","","","","","","De Not.","","","","","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","Uncertain Ascomycota Class","Ascomycota","Fungi"
"ABBR3","","ABBR3","Abrothallus bryoriarum","","Abrothallus","","bryoriarum","","","","","","","","","","","Hafellner","","","","","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","Uncertain Ascomycota Class","Ascomycota","Fungi"
"ABCE","","ABCE","Abrothallus cetrariae","","Abrothallus","","cetrariae","","","","","","","","","","","Kotte","","","","","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","Uncertain Ascomycota Class","Ascomycota","Fungi"
"ABCL","","ABCL","Abrothallus cladoniae","","Abrothallus","","cladoniae","","","","","","","","","","","R. Sant. & D. Hawksw.","","","","","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","Uncertain Ascomycota Class","Ascomycota","Fungi"
"ABPA5","","ABPA5","Abrothallus parmeliarum","","Abrothallus","","parmeliarum","","","","","","","","","","","(Sommerf.) Arnold","","","","","parmelia abrothallus lichen","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","Uncertain Ascomycota Class","Ascomycota","Fungi"
"ABPE2","","ABPE2","Abrothallus peyritschii","","Abrothallus","","peyritschii","","","","","","","","","","","(Stein) Kotte","","","","","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","Uncertain Ascomycota Class","Ascomycota","Fungi"
"ABPR5","","ABPR5","Abrothallus prodiens","","Abrothallus","","prodiens","","","","","","","","","","","(Harm.) Diederich & Hafellner","","","","","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","Uncertain Ascomycota Class","Ascomycota","Fungi"
"ABWE","","ABWE","Abrothallus welwitschii","","Abrothallus","","welwitschii","","","","","","","","","","","Tul.","","","","","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","Uncertain Ascomycota Class","Ascomycota","Fungi"
"ABRUS","","ABRUS","Abrus","","Abrus","","","","","","","","","","","","","Adans.","","","","","abrus","Dicot","Abrus","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"ABPR3","","ABPR3","Abrus precatorius","","Abrus","","precatorius","","","","","","","","","","","L.","","","","","rosarypea","Dicot","Abrus","Fabaceae","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"ABSCO","","ABSCO","Absconditella","","Absconditella","","","","","","","","","","","","","Vezda","","","","","absconditella lichen","Lichen","Absconditella","Stictidaceae","Ostropales","Ascomycetes","Ascomycota","Fungi"
"ABSP","","ABSP","Absconditella sphagnorum","","Absconditella","","sphagnorum","","","","","","","","","","","Vezda & Poelt","","","","","sphagnum absonditella lichen","Lichen","Absconditella","Stictidaceae","Ostropales","Ascomycetes","Ascomycota","Fungi"
"ABTR3","","ABTR3","Absconditella trivialis","","Absconditella","","trivialis","","","","","","","","","","","(Willey ex Tuck.) Vezda","","","","","trivial absconditella lichen","Lichen","Absconditella","Stictidaceae","Ostropales","Ascomycetes","Ascomycota","Fungi"
